initiative_id,site_id,workstream,initiative_name,target_metric,expected_value_usd,expected_outcome,effort_hours,owner_team,project_methodology,phase,status,start_week,due_week,site_name,market,readiness_score,initiative_score,value_density_usd_per_hour,recommended_pm_action
BVT-014-2,SITE-014,Program Mix Optimization,STEM and Coding program mix optimization plan,engagement_rate,44185,student engagement lift,191,Site Leadership,Milestone waterfall,Scale,Blocked,2026-W11,2026-W20,Northern Queens Youth Hub 4,Northern Queens,74.6,65.4,231.3,Escalate dependency
BVT-016-1,SITE-016,Sports Wellness Expansion,Music and Arts sports wellness expansion plan,sports_wellness_participation_rate,137618,wellness participation lift,277,Site Leadership,RACI tracker,Scale,At risk,2026-W11,2026-W18,Upper Manhattan Youth Hub 1,Upper Manhattan,77.7,64.7,496.8,Track realization
BVT-001-3,SITE-001,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,142850,manual reporting hours removed,222,Program Ops,DMAIC improvement cycle,Scale,At risk,2026-W11,2026-W21,South Bronx Youth Hub 1,South Bronx,79.1,64.6,643.5,Track realization
BVT-018-2,SITE-018,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,54035,weekly attendance lift,162,Site Leadership,RACI tracker,Sustain,Blocked,2026-W08,2026-W19,Upper Manhattan Youth Hub 3,Upper Manhattan,74.6,64.6,333.5,Escalate dependency
BVT-015-1,SITE-015,Program Mix Optimization,Music and Arts program mix optimization plan,engagement_rate,142327,student engagement lift,305,Finance,RACI tracker,Design,Ready for review,2026-W12,2026-W19,Northern Queens Youth Hub 5,Northern Queens,74.4,64.2,466.6,Size next sprint
BVT-012-1,SITE-012,Attendance Recovery,Academic Enrichment attendance recovery plan,attendance_rate,149674,weekly attendance lift,204,Site Leadership,DMAIC improvement cycle,Design,On track,2026-W11,2026-W16,Northern Queens Youth Hub 2,Northern Queens,79.9,63.9,733.7,Size next sprint
BVT-002-1,SITE-002,Sports Wellness Expansion,Music and Arts sports wellness expansion plan,sports_wellness_participation_rate,136530,wellness participation lift,220,Finance,Agile sprint board,Scale,At risk,2026-W09,2026-W21,South Bronx Youth Hub 2,South Bronx,79.7,63.6,620.6,Track realization
BVT-020-3,SITE-020,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,123034,weekly attendance lift,216,Analytics,Milestone waterfall,Sustain,Ready for review,2026-W12,2026-W16,Upper Manhattan Youth Hub 5,Upper Manhattan,73.3,63.2,569.6,Track realization
BVT-005-2,SITE-005,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,50272,weekly attendance lift,123,Partnerships,RACI tracker,Pilot,At risk,2026-W10,2026-W17,South Bronx Youth Hub 5,South Bronx,75.2,62.6,408.7,Size next sprint
BVT-012-3,SITE-012,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,129652,student engagement lift,286,Finance,Milestone waterfall,Discovery,Blocked,2026-W09,2026-W15,Northern Queens Youth Hub 2,Northern Queens,79.9,61.8,453.3,Escalate dependency
BVT-007-3,SITE-007,Attendance Recovery,College and Career attendance recovery plan,attendance_rate,65920,weekly attendance lift,159,Finance,Milestone waterfall,Design,On track,2026-W11,2026-W16,Central Brooklyn Youth Hub 2,Central Brooklyn,74.5,61.5,414.6,Size next sprint
BVT-009-3,SITE-009,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,168621,student engagement lift,402,Finance,Milestone waterfall,Scale,On track,2026-W09,2026-W15,Central Brooklyn Youth Hub 4,Central Brooklyn,76.0,61.5,419.5,Track realization
BVT-013-1,SITE-013,Attendance Recovery,Academic Enrichment attendance recovery plan,attendance_rate,167517,weekly attendance lift,375,Partnerships,Milestone waterfall,Scale,Ready for review,2026-W08,2026-W16,Northern Queens Youth Hub 3,Northern Queens,76.9,61.5,446.7,Track realization
BVT-028-1,SITE-028,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,118508,family engagement lift,296,Program Ops,RACI tracker,Design,Ready for review,2026-W12,2026-W17,Anchorage Launch Youth Hub 3,Anchorage Launch,76.4,61.2,400.4,Size next sprint
BVT-011-2,SITE-011,Reporting Automation,College and Career reporting automation plan,data_completeness_rate,173009,manual reporting hours removed,344,Analytics,DMAIC improvement cycle,Discovery,On track,2026-W10,2026-W16,Northern Queens Youth Hub 1,Northern Queens,75.3,61.1,502.9,Track realization
BVT-011-3,SITE-011,Sports Wellness Expansion,College and Career sports wellness expansion plan,sports_wellness_participation_rate,92646,wellness participation lift,180,Analytics,DMAIC improvement cycle,Sustain,Ready for review,2026-W10,2026-W15,Northern Queens Youth Hub 1,Northern Queens,75.3,60.9,514.7,Track realization
BVT-013-3,SITE-013,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,60506,student engagement lift,111,Partnerships,Milestone waterfall,Sustain,Ready for review,2026-W09,2026-W20,Northern Queens Youth Hub 3,Northern Queens,76.9,60.8,545.1,Track realization
BVT-014-3,SITE-014,Family Outreach,STEM and Coding family outreach plan,family_touchpoints,144482,family engagement lift,314,Analytics,DMAIC improvement cycle,Discovery,Ready for review,2026-W09,2026-W17,Northern Queens Youth Hub 4,Northern Queens,74.6,60.8,460.1,Track realization
BVT-018-1,SITE-018,Program Mix Optimization,STEM and Coding program mix optimization plan,engagement_rate,92336,student engagement lift,263,Partnerships,DMAIC improvement cycle,Scale,Ready for review,2026-W12,2026-W19,Upper Manhattan Youth Hub 3,Upper Manhattan,74.6,60.4,351.1,Track realization
BVT-010-1,SITE-010,Staffing Model,Sports and Wellness staffing model plan,staff_coverage_rate,79498,coverage gap reduction,162,Program Ops,RACI tracker,Discovery,Blocked,2026-W12,2026-W21,Central Brooklyn Youth Hub 5,Central Brooklyn,80.0,60.0,490.7,Escalate dependency
BVT-024-1,SITE-024,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,109511,wellness participation lift,367,Program Ops,Agile sprint board,Pilot,At risk,2026-W09,2026-W18,Staten Island Youth Hub 4,Staten Island,78.9,59.9,298.4,Size next sprint
BVT-009-1,SITE-009,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,146393,manual reporting hours removed,301,Program Ops,RACI tracker,Sustain,On track,2026-W12,2026-W19,Central Brooklyn Youth Hub 4,Central Brooklyn,76.0,59.6,486.4,Track realization
BVT-026-2,SITE-026,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,56778,manual reporting hours removed,415,Program Ops,Agile sprint board,Pilot,Blocked,2026-W08,2026-W15,Anchorage Launch Youth Hub 1,Anchorage Launch,76.9,59.6,136.8,Escalate dependency
BVT-005-3,SITE-005,Family Outreach,STEM and Coding family outreach plan,family_touchpoints,99322,family engagement lift,214,Program Ops,DMAIC improvement cycle,Pilot,Ready for review,2026-W12,2026-W18,South Bronx Youth Hub 5,South Bronx,75.2,59.5,464.1,Size next sprint
BVT-018-3,SITE-018,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,131369,wellness participation lift,355,Analytics,Agile sprint board,Design,Ready for review,2026-W11,2026-W18,Upper Manhattan Youth Hub 3,Upper Manhattan,74.6,58.7,370.1,Size next sprint
BVT-025-3,SITE-025,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,118150,family engagement lift,367,Partnerships,RACI tracker,Scale,At risk,2026-W10,2026-W21,Staten Island Youth Hub 5,Staten Island,80.2,58.4,321.9,Track realization
BVT-008-1,SITE-008,Family Outreach,College and Career family outreach plan,family_touchpoints,54730,family engagement lift,226,Partnerships,DMAIC improvement cycle,Design,At risk,2026-W12,2026-W19,Central Brooklyn Youth Hub 3,Central Brooklyn,74.6,58.2,242.2,Size next sprint
BVT-027-1,SITE-027,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,96004,family engagement lift,392,Partnerships,RACI tracker,Discovery,Blocked,2026-W12,2026-W21,Anchorage Launch Youth Hub 2,Anchorage Launch,76.1,57.7,244.9,Escalate dependency
BVT-003-1,SITE-003,Staffing Model,STEM and Coding staffing model plan,staff_coverage_rate,70981,coverage gap reduction,363,Partnerships,RACI tracker,Scale,On track,2026-W12,2026-W18,South Bronx Youth Hub 3,South Bronx,73.7,56.4,195.5,Track realization
BVT-019-1,SITE-019,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,77183,weekly attendance lift,361,Analytics,Milestone waterfall,Sustain,Blocked,2026-W10,2026-W19,Upper Manhattan Youth Hub 4,Upper Manhattan,75.7,56.3,213.8,Escalate dependency
BVT-022-1,SITE-022,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,73587,wellness participation lift,364,Program Ops,RACI tracker,Scale,On track,2026-W08,2026-W21,Staten Island Youth Hub 2,Staten Island,76.8,56.0,202.2,Track realization
BVT-024-2,SITE-024,Program Mix Optimization,Sports and Wellness program mix optimization plan,engagement_rate,109292,student engagement lift,343,Analytics,RACI tracker,Pilot,Ready for review,2026-W12,2026-W21,Staten Island Youth Hub 4,Staten Island,78.9,55.6,318.6,Size next sprint
BVT-007-1,SITE-007,Reporting Automation,College and Career reporting automation plan,data_completeness_rate,58328,manual reporting hours removed,344,Program Ops,RACI tracker,Scale,Ready for review,2026-W09,2026-W16,Central Brooklyn Youth Hub 2,Central Brooklyn,74.5,55.3,169.6,Track realization
BVT-021-1,SITE-021,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,169532,student engagement lift,411,Site Leadership,DMAIC improvement cycle,Scale,Ready for review,2026-W12,2026-W17,Staten Island Youth Hub 1,Staten Island,77.6,55.3,412.5,Track realization
BVT-023-1,SITE-023,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,103631,manual reporting hours removed,280,Analytics,Agile sprint board,Pilot,Ready for review,2026-W08,2026-W21,Staten Island Youth Hub 3,Staten Island,79.6,55.3,370.1,Size next sprint
BVT-004-2,SITE-004,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,73908,manual reporting hours removed,315,Program Ops,Milestone waterfall,Sustain,Blocked,2026-W09,2026-W20,South Bronx Youth Hub 4,South Bronx,79.4,55.0,234.6,Escalate dependency
BVT-021-3,SITE-021,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,162359,family engagement lift,326,Site Leadership,DMAIC improvement cycle,Discovery,On track,2026-W09,2026-W16,Staten Island Youth Hub 1,Staten Island,77.6,54.7,498.0,Track realization
BVT-010-2,SITE-010,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,97843,manual reporting hours removed,258,Finance,Agile sprint board,Pilot,At risk,2026-W08,2026-W18,Central Brooklyn Youth Hub 5,Central Brooklyn,80.0,54.6,379.2,Size next sprint
BVT-013-2,SITE-013,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,91250,family engagement lift,258,Analytics,Milestone waterfall,Sustain,Ready for review,2026-W09,2026-W17,Northern Queens Youth Hub 3,Northern Queens,76.9,54.1,353.7,Track realization
BVT-026-3,SITE-026,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,63334,wellness participation lift,270,Finance,Agile sprint board,Pilot,On track,2026-W09,2026-W17,Anchorage Launch Youth Hub 1,Anchorage Launch,76.9,54.0,234.6,Size next sprint
BVT-011-1,SITE-011,Family Outreach,College and Career family outreach plan,family_touchpoints,120168,family engagement lift,380,Site Leadership,Milestone waterfall,Sustain,On track,2026-W08,2026-W19,Northern Queens Youth Hub 1,Northern Queens,75.3,53.9,316.2,Track realization
BVT-023-3,SITE-023,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,78420,weekly attendance lift,214,Finance,DMAIC improvement cycle,Discovery,On track,2026-W08,2026-W20,Staten Island Youth Hub 3,Staten Island,79.6,52.6,366.4,Track realization
BVT-027-2,SITE-027,Program Mix Optimization,Sports and Wellness program mix optimization plan,engagement_rate,42315,student engagement lift,321,Program Ops,Milestone waterfall,Discovery,At risk,2026-W12,2026-W19,Anchorage Launch Youth Hub 2,Anchorage Launch,76.1,49.8,131.8,Track realization
BVT-002-3,SITE-002,Attendance Recovery,Music and Arts attendance recovery plan,attendance_rate,145343,weekly attendance lift,381,Finance,Milestone waterfall,Pilot,On track,2026-W09,2026-W18,South Bronx Youth Hub 2,South Bronx,79.7,49.1,381.5,Size next sprint
BVT-024-3,SITE-024,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,47207,manual reporting hours removed,349,Partnerships,Agile sprint board,Sustain,On track,2026-W08,2026-W15,Staten Island Youth Hub 4,Staten Island,78.9,46.1,135.3,Track realization
BVT-010-3,SITE-010,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,127694,weekly attendance lift,406,Program Ops,Milestone waterfall,Discovery,Ready for review,2026-W11,2026-W17,Central Brooklyn Youth Hub 5,Central Brooklyn,80.0,44.8,314.5,Track realization
BVT-019-3,SITE-019,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,45393,wellness participation lift,361,Partnerships,Milestone waterfall,Discovery,On track,2026-W09,2026-W15,Upper Manhattan Youth Hub 4,Upper Manhattan,75.7,44.8,125.7,Track realization
BVT-001-1,SITE-001,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,53691,family engagement lift,217,Program Ops,RACI tracker,Sustain,Ready for review,2026-W11,2026-W21,South Bronx Youth Hub 1,South Bronx,79.1,41.6,247.4,Track realization
